name,files,tags,Icarus,UhdmVerilator,tree_sitter_verilog,Slang,Yosys,moore_parse,UhdmYosys,moore,Sv2v_zachjs,Odin,Verilator,Surelog,Verible,sv_parser
process_cls_self,/tmpfs/src/github/sv-tests/tests/chapter-9/9.7--process_cls_self.sv,9.7 uvm-req,False,,False,False,False,True,False,False,False,False,False,True,True,True
always_comb,/tmpfs/src/github/sv-tests/tests/chapter-9/9.2.2.2--always_comb.sv,9.2.2.2,True,,True,True,True,True,False,True,True,False,True,True,True,True
block_start_finish,/tmpfs/src/github/sv-tests/tests/chapter-9/9.3.3--block_start_finish.sv,9.3.3,True,,True,True,False,True,False,False,True,False,False,True,True,True
disable_fork,/tmpfs/src/github/sv-tests/tests/chapter-9/9.6.3--disable_fork.sv,9.6.3,True,,True,False,False,True,False,False,False,False,False,True,True,True
parallel_block_join,/tmpfs/src/github/sv-tests/tests/chapter-9/9.3.2--parallel_block_join.sv,9.3.2,True,,True,True,False,True,False,False,True,False,False,True,True,True
event_conditional,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.2.3--event_conditional.sv,9.4.2.3,False,,False,False,False,True,True,True,False,False,False,True,True,True
event_control_posedge,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.2--event_control_posedge.sv,9.4.2,True,,True,True,True,True,True,True,True,True,True,True,True,True
disable_other,/tmpfs/src/github/sv-tests/tests/chapter-9/9.6.2--disable_other.sv,9.6.2,True,,True,False,False,True,False,False,False,False,False,True,True,True
event_comma_op,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.2.1--event_comma_op.sv,9.4.2.1,True,,True,True,True,True,False,True,True,True,True,True,True,True
always_latch_expr,/tmpfs/src/github/sv-tests/tests/chapter-9/9.2.2.3--always_latch.sv,9.2.2.3,True,,True,True,True,True,True,True,True,False,True,True,True,True
block_names_par,/tmpfs/src/github/sv-tests/tests/chapter-9/9.3.4--block_names_par.sv,9.3.4,True,,True,True,False,True,False,False,True,False,False,True,True,True
process_cls_await,/tmpfs/src/github/sv-tests/tests/chapter-9/9.7--process_cls_await.sv,9.7 uvm-req,False,,False,False,False,True,False,False,False,False,False,True,True,True
event_blocking_assignment_delay,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.5--event_blocking_assignment_delay.sv,9.4.5,True,,True,False,True,False,False,False,True,True,True,True,True,True
process_cls_kill,/tmpfs/src/github/sv-tests/tests/chapter-9/9.7--process_cls_kill.sv,9.7 uvm-req,False,,False,False,False,True,False,False,False,False,False,True,True,True
event_nonblocking_assignment_event,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.5--event_nonblocking_assignment_event.sv,9.4.5,True,,True,False,False,False,False,False,True,False,False,True,True,True
event_nonblocking_assignment_repeat_int,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.5--event_nonblocking_assignment_repeat_int.sv,9.4.5,True,,True,False,False,False,False,False,False,False,False,True,True,True
always,/tmpfs/src/github/sv-tests/tests/chapter-9/9.2.2.1--always.sv,9.2.2.1,False,,True,True,True,True,False,True,True,True,True,True,True,True
initial,/tmpfs/src/github/sv-tests/tests/chapter-9/9.2.1--initial.sv,9.2.1,True,,True,True,True,True,False,True,True,True,True,True,True,True
delay_control,/tmpfs/src/github/sv-tests/tests/chapter-9/9.4.1--delay_control.sv,9.4.1,True,,True,True,True,True,False,True,True,True,True,True,True,True
